"date","new_cases","new_deaths","people_vaccinated","population","avg_cases","avg_deaths","vacc_rate"
2020-03-02,2,NA,NA,10167923,NA,NA,NA
2020-03-03,0,NA,NA,10167923,NA,NA,NA
2020-03-04,3,NA,NA,10167923,NA,NA,NA
2020-03-05,3,NA,NA,10167923,NA,NA,NA
2020-03-06,5,NA,NA,10167923,NA,NA,NA
2020-03-07,7,NA,NA,10167923,NA,NA,NA
2020-03-08,10,NA,NA,10167923,NA,NA,NA
2020-03-09,0,NA,NA,10167923,20.5,NA,NA
2020-03-10,11,NA,NA,10167923,27.6785714285714,NA,NA
2020-03-11,18,NA,NA,10167923,31.75,NA,NA
2020-03-12,0,NA,NA,10167923,43.5714285714286,NA,NA
2020-03-13,53,NA,NA,10167923,63.7142857142857,NA,NA
2020-03-14,57,NA,NA,10167923,80.9642857142857,NA,NA
2020-03-15,76,NA,NA,10167923,101.071428571429,NA,NA
2020-03-16,86,NA,NA,10167923,128.571428571429,NA,NA
2020-03-17,117,1,NA,10167923,155.392857142857,NA,NA
2020-03-18,0,1,NA,10167923,187.75,NA,NA
2020-03-19,337,1,NA,10167923,229.321428571429,NA,NA
2020-03-20,235,3,NA,10167923,272.892857142857,NA,NA
2020-03-21,260,6,NA,10167923,327.035714285714,NA,NA
2020-03-22,320,2,NA,10167923,382.785714285714,NA,NA
2020-03-23,460,9,NA,10167923,421.214285714286,NA,NA
2020-03-24,302,10,NA,10167923,466.857142857143,10.6785714285714,NA
2020-03-25,633,10,NA,10167923,528.5,12.2857142857143,NA
2020-03-26,549,17,NA,10167923,573.285714285714,13.9642857142857,NA
2020-03-27,724,16,NA,10167923,611.25,15.9285714285714,NA
2020-03-28,902,24,NA,10167923,646.785714285714,17.6428571428571,NA
2020-03-29,792,19,NA,10167923,675.785714285714,19.1071428571429,NA
2020-03-30,446,21,NA,10167923,691,20.3214285714286,NA
2020-03-31,1035,20,NA,10167923,705.357142857143,21.4285714285714,NA
2020-04-01,808,27,NA,10167923,722.357142857143,23.1785714285714,NA
2020-04-02,783,22,NA,10167923,734.214285714286,24.5,NA
2020-04-03,852,37,NA,10167923,772,25.2857142857143,NA
2020-04-04,638,20,NA,10167923,786.464285714286,26.0357142857143,NA
2020-04-05,754,29,NA,10167923,765.714285714286,26.9642857142857,NA
2020-04-06,452,16,NA,10167923,755.321428571429,27.8571428571429,NA
2020-04-07,712,34,NA,10167923,733.25,28.6428571428571,NA
2020-04-08,699,35,NA,10167923,708.75,29.25,NA
2020-04-09,815,29,NA,10167923,701.678571428571,29.7142857142857,NA
2020-04-10,1516,26,NA,10167923,676.535714285714,29.6785714285714,NA
2020-04-11,515,35,NA,10167923,653.464285714286,29.7142857142857,NA
2020-04-12,598,34,NA,10167923,646.035714285714,30,NA
2020-04-13,349,31,NA,10167923,645.035714285714,30.1071428571429,NA
2020-04-14,514,32,NA,10167923,645.357142857143,30.0357142857143,NA
2020-04-15,643,32,NA,10167923,634.928571428571,29.3571428571429,NA
2020-04-16,750,30,NA,10167923,615.642857142857,29.1428571428571,NA
2020-04-17,181,28,NA,10167923,561.5,29.6428571428571,NA
2020-04-18,663,30,NA,10167923,526.071428571429,29.6071428571429,NA
2020-04-19,521,27,NA,10167923,524.428571428571,28.8928571428571,NA
2020-04-20,657,21,NA,10167923,513.285714285714,28.2857142857143,NA
2020-04-21,516,27,NA,10167923,498.821428571429,27.6428571428571,NA
2020-04-22,603,23,NA,10167923,474.571428571429,26.9642857142857,NA
2020-04-23,371,35,NA,10167923,450.642857142857,26.2142857142857,NA
2020-04-24,444,34,NA,10167923,447.607142857143,25.3571428571429,NA
2020-04-25,595,26,NA,10167923,422.642857142857,24.5,NA
2020-04-26,472,23,NA,10167923,377.892857142857,23.75,NA
2020-04-27,163,25,NA,10167923,347.75,23.4642857142857,NA
2020-04-28,295,20,NA,10167923,320.857142857143,22.8571428571429,NA
2020-04-29,183,25,NA,10167923,304.392857142857,22,NA
2020-04-30,540,16,NA,10167923,305.785714285714,21.0357142857143,NA
2020-05-01,306,18,NA,10167923,315.464285714286,19.4642857142857,NA
2020-05-02,-161,16,NA,10167923,303.035714285714,18.0714285714286,NA
2020-05-03,92,20,NA,10167923,276.107142857143,17.0714285714286,NA
2020-05-04,242,20,NA,10167923,263.178571428571,16,NA
2020-05-05,178,11,NA,10167923,258.678571428571,15.3928571428571,NA
2020-05-06,480,15,NA,10167923,257.785714285714,14.8928571428571,NA
2020-05-07,533,16,NA,10167923,246.464285714286,14.1785714285714,NA
2020-05-08,553,9,NA,10167923,232.357142857143,13.5,NA
2020-05-09,138,12,NA,10167923,244.714285714286,12.9642857142857,NA
2020-05-10,175,9,NA,10167923,263.357142857143,12.6785714285714,NA
2020-05-11,98,9,NA,10167923,265.678571428571,12.25,NA
2020-05-12,234,19,NA,10167923,264.821428571429,12.1785714285714,NA
2020-05-13,219,12,NA,10167923,257.428571428571,12.3928571428571,NA
2020-05-14,187,9,NA,10167923,238.392857142857,12.3571428571429,NA
2020-05-15,264,6,NA,10167923,218.892857142857,12.3928571428571,NA
2020-05-16,227,13,NA,10167923,214.178571428571,12.5357142857143,NA
2020-05-17,226,15,NA,10167923,218.107142857143,12.75,NA
2020-05-18,173,13,NA,10167923,219.678571428571,13.1071428571429,NA
2020-05-19,223,16,NA,10167923,221.535714285714,13.0357142857143,NA
2020-05-20,228,16,NA,10167923,223.357142857143,12.8571428571429,NA
2020-05-21,252,14,NA,10167923,229.892857142857,13.0714285714286,NA
2020-05-22,288,12,NA,10167923,237.142857142857,13.5,NA
2020-05-23,271,13,NA,10167923,241.285714285714,13.7857142857143,NA
2020-05-24,152,14,NA,10167923,244.892857142857,13.75,NA
2020-05-25,165,14,NA,10167923,248.392857142857,13.75,NA
2020-05-26,219,12,NA,10167923,248.357142857143,13.6428571428571,NA
2020-05-27,285,14,NA,10167923,252.285714285714,13.3214285714286,NA
2020-05-28,304,13,NA,10167923,260.035714285714,12.9285714285714,NA
2020-05-29,350,14,NA,10167923,266.035714285714,12.6428571428571,NA
2020-05-30,257,13,NA,10167923,273.178571428571,12.4285714285714,NA
2020-05-31,297,14,NA,10167923,283.928571428571,11.9642857142857,NA
2020-06-01,200,14,NA,10167923,291.678571428571,11.3571428571429,NA
